facility,address,city,system_abbrev,zip_code,latitude,longitude,full_address,capacity,in_hsf,hsf_facility_name
New Haven Correctional Center,245 Whalley Ave,New Haven,CT,06511,41.31754,-72.93890,"245 Whalley Ave, New Haven, CT 06511",,,NEW HAVEN CORRECTIONAL CENTER
Osborn Correctional Institution,335 Bilton Rd,Somers,CT,06071,42.01667,-72.49672,"335 Bilton Rd, Somers, CT 06071",,,OSBORN CORRECTIONAL INSTITUTION
Robinson Correctional Institution,285 Shaker Rd,Enfield ,CT,06082,42.01567,-72.51508,"285 Shaker Rd, Enfield , CT 06082",,,ROBINSON CORRECTIONAL INSTITUTION
York Correctional Institution,201 W. Main St,Niantic,CT,06357,41.32351,-72.23572,"201 W. Main St, Niantic, CT 06357",,,YORK CORRECTIONAL INSTITUTION
Delores J. Baylor Women's Correctional Institution,660 Baylor Blvd,New Castle,DE,19720,39.70345,-75.58044,"660 Baylor Blvd, New Castle, DE 19720",,,DELORES J. BAYLOR WOMEN'S CORRECTIONAL INSTITUTION
Howard R. Young Correctional Institution,1301 E. 12th St,Wilmington,DE,19802,39.74154,-75.52915,"1301 E. 12th St, Wilmington, DE 19802",,,HOWARD R. YOUNG CORRECTIONAL INSTITUTION
James T. Vaughn Correctional Center,1181 Paddock Rd,Smyma,DE,19977,39.33308,-75.59911,"1181 Paddock Rd, Smyma, DE 19977",,,JAMES T. VAUGHN CORRECTIONAL CENTER
Sussex Correctional Institution,23203 Dupont Blvd,Georgetown,DE,19947,38.65996,-75.36970,"23203 Dupont Blvd, Georgetown, DE 19947",,,SUSSEX CORRECTIONAL INSTITUTION
"Apalachee Correctional Institution, East Unit ",35 Apalachee D,Sneads,FL,32460,30.70821,-84.87748,"35 Apalachee D, Sneads, FL 32460",,,"APALACHEE CORRECTIONAL INSTITUTION, EAST UNIT "
"Apalachee Correctional Institution, West Unit",52 W. Unit Dr,Sneads,FL,32460,30.71251,-84.88550,"52 W. Unit Dr, Sneads, FL 32460",,,"APALACHEE CORRECTIONAL INSTITUTION, WEST UNIT"
Avon Park Correctional Institution,8100 Hwy 64 E.,Avon Park,FL,33825,27.66229,-81.35917,"8100 Hwy 64 E., Avon Park, FL 33825",,,AVON PARK CORRECTIONAL INSTITUTION
Baker Correctional Institution,20706 U.S. Hwy 90 W.,Sanderson,FL,32087,30.21459,-82.37389,"20706 U.S. Hwy 90 W., Sanderson, FL 32087",,,BAKER CORRECTIONAL INSTITUTION
Bay Correctional Facility,5400 Bayline Dr,Panama City,FL,32404,30.26666,-85.50531,"5400 Bayline Dr, Panama City, FL 32404",,,BAY CORRECTIONAL FACILITY
Blackwater River Correctional Facility,5914 Jeff Ates Rd,Milton,FL,32583,30.64583,-86.95219,"5914 Jeff Ates Rd, Milton, FL 32583",,,BLACKWATER RIVER CORRECTIONAL FACILITY
Calhoun Correctional Institution,19562 S.E. Institution Dr,Blountstown,FL,32424,30.40891,-85.06429,"19562 S.E. Institution Dr, Blountstown, FL 32424",,,CALHOUN CORRECTIONAL INSTITUTION
Central Florida Reception Center ,7000 H C Kelley Rd,Orlando,FL,32831,28.67716,-80.62321,"7000 H C Kelley Rd, Orlando, FL 32831",,,CENTRAL FLORIDA RECEPTION CENTER 
Century Correctional Institution,400 Tedder Rd,Century,FL,32535,30.95689,-87.29121,"400 Tedder Rd, Century, FL 32535",,,CENTURY CORRECTIONAL INSTITUTION
Charlotte Correctional Institution,33123 Oil Well Rd,Punta Gorda,FL,33955,26.80478,-81.90297,"33123 Oil Well Rd, Punta Gorda, FL 33955",,,CHARLOTTE CORRECTIONAL INSTITUTION
Columbia Correctional Institution,216 S.E. Corrections Way,Lake City,FL,32025,30.19320,-82.50260,"216 S.E. Corrections Way, Lake City, FL 32025",,,COLUMBIA CORRECTIONAL INSTITUTION
Cross City Correctional Institution,568 N.E. 255th St,Cross City,FL,32628,29.63495,-83.09761,"568 N.E. 255th St, Cross City, FL 32628",,,CROSS CITY CORRECTIONAL INSTITUTION
