facility,address,city,system_abbrev,zip_code,latitude,longitude,full_address,capacity,in_hsf,hsf_facility_name
Pondville Correctional Center,1 Industries Dr ,Norfolk,MA,02056,,,"1 Industries Dr , Norfolk, MA 02056",,,PONDVILLE CORRECTIONAL CENTER
Souza-Baranowski Correctional Center,1671 Shirley Rd,Lancaster,MA,01523,,,"1671 Shirley Rd, Lancaster, MA 01523",,,SOUZA-BARANOWSKI CORRECTIONAL CENTER
Alger Correctional Facility,N6141 Industrial Park Dr,Munising,MI,49862,,,"N6141 Industrial Park Dr, Munising, MI 49862",,,ALGER CORRECTIONAL FACILITY
Baraga Correctional Facility,13924 Wadaga Rd,Baraga,MI,49908,,,"13924 Wadaga Rd, Baraga, MI 49908",,,BARAGA CORRECTIONAL FACILITY
Bellamy Creek Correctional Facility,1727 West Bluewater Hwy,Ionia,MI,48846,,,"1727 West Bluewater Hwy, Ionia, MI 48846",,,BELLAMY CREEK CORRECTIONAL FACILITY
Carson City Correctional Facility,10274 Boyer Rd,Carson City,MI,48811,,,"10274 Boyer Rd, Carson City, MI 48811",,,CARSON CITY CORRECTIONAL FACILITY
Central Michigan Correctional Facility,320 Hubbard St,St. Louis,MI,48880,,,"320 Hubbard St, St. Louis, MI 48880",,,CENTRAL MICHIGAN CORRECTIONAL FACILITY
Charles E. Egeler Reception and Guidance Center,3855 Cooper St,Jackson,MI,49201,,,"3855 Cooper St, Jackson, MI 49201",,,CHARLES E. EGELER RECEPTION AND GUIDANCE CENTER
Chippewa Correctional Facility,4269 W. M-80,Kincheloe,MI,49784,,,"4269 W. M-80, Kincheloe, MI 49784",,,CHIPPEWA CORRECTIONAL FACILITY
Cooper Street Correctional Facility,3100 Cooper St,Jackson,MI,49201,,,"3100 Cooper St, Jackson, MI 49201",,,COOPER STREET CORRECTIONAL FACILITY
Detroit Detention Center,17601 Mound Rd,Detroit,MI,48212,,,"17601 Mound Rd, Detroit, MI 48212",,,DETROIT DETENTION CENTER
Earnest C. Brooks Correctional Facility,2500 S. Sheridan Dr,Muskegon Heights,MI,49444,,,"2500 S. Sheridan Dr, Muskegon Heights, MI 49444",,,EARNEST C. BROOKS CORRECTIONAL FACILITY
G. Robert Cotton Correctional Facility,3500 N. Elm Rd,Jackson,MI,49201,,,"3500 N. Elm Rd, Jackson, MI 49201",,,G. ROBERT COTTON CORRECTIONAL FACILITY
Gus Harrison Correctional Facility,2727 E. Beecher St,Adrian,MI,49221,,,"2727 E. Beecher St, Adrian, MI 49221",,,GUS HARRISON CORRECTIONAL FACILITY
Ionia Correctional Facility,1576 W. Bluewater Hwy,Ionia,MI,48846,,,"1576 W. Bluewater Hwy, Ionia, MI 48846",,,IONIA CORRECTIONAL FACILITY
Kinross Correctional Facility,4533 W. Industrial Park Dr,Kincheloe,MI,49788,,,"4533 W. Industrial Park Dr, Kincheloe, MI 49788",,,KINROSS CORRECTIONAL FACILITY
Lakeland Correctional Facility,141 First St,Coldwater,MI,49036,,,"141 First St, Coldwater, MI 49036",,,LAKELAND CORRECTIONAL FACILITY
Macomb Correctional Facility,34625 26 Mile Rd,Lenox Township,MI,48048,,,"34625 26 Mile Rd, Lenox Township, MI 48048",,,MACOMB CORRECTIONAL FACILITY
Marquette Branch Prison,1960 U.S. Hwy 41 S.,Marquette,MI,49855,,,"1960 U.S. Hwy 41 S., Marquette, MI 49855",,,MARQUETTE BRANCH PRISON
Muskegon Correctional Facility,2400 S. Sheridan Dr,Muskegon,MI,49442,,,"2400 S. Sheridan Dr, Muskegon, MI 49442",,,MUSKEGON CORRECTIONAL FACILITY
Newberry Correctional Facility,13747 E. County Rd 428,Newberry,MI,49868,,,"13747 E. County Rd 428, Newberry, MI 49868",,,NEWBERRY CORRECTIONAL FACILITY
Oaks Correctional Facility,1500 Caberfae Hwy,Manistee,MI,49660,,,"1500 Caberfae Hwy, Manistee, MI 49660",,,OAKS CORRECTIONAL FACILITY
Parnall Correctional Facility,1780 E. Parnall Rd,Jackson,MI,49201,,,"1780 E. Parnall Rd, Jackson, MI 49201",,,PARNALL CORRECTIONAL FACILITY
Richard A. Handlon Correctional Facility,1728 W. Bluewater Hwy,Ionia,MI,48846,,,"1728 W. Bluewater Hwy, Ionia, MI 48846",,,RICHARD A. HANDLON CORRECTIONAL FACILITY
Saginaw Correctional Facility,9625 Pierce Rd,Freeland,MI,48623,,,"9625 Pierce Rd, Freeland, MI 48623",,,SAGINAW CORRECTIONAL FACILITY
St. Louis Correctional Facility,8585 N. Croswell Rd,St. Louis,MI,48880,,,"8585 N. Croswell Rd, St. Louis, MI 48880",,,ST. LOUIS CORRECTIONAL FACILITY
Thumb Correctional Facility,3225 John Conley Dr,Lapeer,MI,48446,,,"3225 John Conley Dr, Lapeer, MI 48446",,,THUMB CORRECTIONAL FACILITY
Women's Huron Valley Correctional Facility,3201 Bemis Rd,Ypsilanti,MI,48197,,,"3201 Bemis Rd, Ypsilanti, MI 48197",,,WOMEN'S HURON VALLEY CORRECTIONAL FACILITY
Wooland Center Correctional Facility,9036 E. M-36,Whitmore Lake,MI,48189,,,"9036 E. M-36, Whitmore Lake, MI 48189",,,WOOLAND CENTER CORRECTIONAL FACILITY
Minnesota Correctional Facility - Shakopee,1010 W. Sixth Ave,Shakopee,MN,55379,,,"1010 W. Sixth Ave, Shakopee, MN 55379",,,MINNESOTA CORRECTIONAL FACILITY - SHAKOPEE
Minnesota Correctional Facility - Faribault,1101 Linden Ln,Faribault,MN,55021,,,"1101 Linden Ln, Faribault, MN 55021",,,MINNESOTA CORRECTIONAL FACILITY - FARIBAULT
Minnesota Correctional Facility - Lino Lakes,7525 Fourth Ave,Lino Lakes,MN,55014,,,"7525 Fourth Ave, Lino Lakes, MN 55014",,,MINNESOTA CORRECTIONAL FACILITY - LINO LAKES
Minnesota Correctional Facility - Red Wing,1079 Hwy 292,Red Wing,MN,55066,,,"1079 Hwy 292, Red Wing, MN 55066",,,MINNESOTA CORRECTIONAL FACILITY - RED WING
Minnesota Correctional Facility - Rush City,7600 525th St,Rush City,MN,55069,,,"7600 525th St, Rush City, MN 55069",,,MINNESOTA CORRECTIONAL FACILITY - RUSH CITY
Minnesota Correctional Facility - Oak Park Heights,5329 Osgood Ave W.,Stillwater,MN,55082,,,"5329 Osgood Ave W., Stillwater, MN 55082",,,MINNESOTA CORRECTIONAL FACILITY - OAK PARK HEIGHTS
Minnesota Correctional Facility - St. Cloud,2305 Minnesota Blvd,St. Cloud,MN,56304,,,"2305 Minnesota Blvd, St. Cloud, MN 56304",,,MINNESOTA CORRECTIONAL FACILITY - ST. CLOUD
Minnesota Correctional Facility - Stillwater,970 Pickett St,Bayport,MN,55003,,,"970 Pickett St, Bayport, MN 55003",,,MINNESOTA CORRECTIONAL FACILITY - STILLWATER
Minnesota Correctional Facility - Togo ,62741 Co Rd 551,Togo,MN,55723,,,"62741 Co Rd 551, Togo, MN 55723",,,MINNESOTA CORRECTIONAL FACILITY - TOGO 
Minnesota Correctional Facility - Moose Lake,1000 Lakeshore Dr,Moose Lake,MN,55767,,,"1000 Lakeshore Dr, Moose Lake, MN 55767",,,MINNESOTA CORRECTIONAL FACILITY - MOOSE LAKE
Central Mississippi Correctional Facility,3794 MS Hwy 468,Pearl,MS,39208,,,"3794 MS Hwy 468, Pearl, MS 39208",,,CENTRAL MISSISSIPPI CORRECTIONAL FACILITY
Delta Correctional Facility,3800 Baldwin Rd,Greenwood,MS,38930,,,"3800 Baldwin Rd, Greenwood, MS 38930",,,DELTA CORRECTIONAL FACILITY
Marshall County Correctional Facility,833 W. St,Holly Springs,MS,38634,,,"833 W. St, Holly Springs, MS 38634",,,MARSHALL COUNTY CORRECTIONAL FACILITY
Mississippi Correctional Institute For Women,3794 MS Hwy 468,Pearl,MS,39208,,,"3794 MS Hwy 468, Pearl, MS 39208",,,MISSISSIPPI CORRECTIONAL INSTITUTE FOR WOMEN
Mississippi State Penitentiary,590 Parchman 40 Rd,Parchman,MS,38738,,,"590 Parchman 40 Rd, Parchman, MS 38738",,,MISSISSIPPI STATE PENITENTIARY
South Mississippi Correctional Institution,22689 MS Hwy 63 W.,Leakesville,MS,39451,,,"22689 MS Hwy 63 W., Leakesville, MS 39451",,,SOUTH MISSISSIPPI CORRECTIONAL INSTITUTION
Walnut Grove Correctional Facility,1650 MS Hwy 492,Walnut Grove,MS,39189,,,"1650 MS Hwy 492, Walnut Grove, MS 39189",,,WALNUT GROVE CORRECTIONAL FACILITY
Algoa Correctional Center,8501 No More Victims Rd,Jefferson City,MO,65101,,,"8501 No More Victims Rd, Jefferson City, MO 65101",,,ALGOA CORRECTIONAL CENTER
Boonville Correctional Center,1216 E. Morgan St,Boonville,MO,65233,,,"1216 E. Morgan St, Boonville, MO 65233",,,BOONVILLE CORRECTIONAL CENTER
Chillicothe Correctional Center,3151 Litton Rd,Chillicothe,MO,64601,,,"3151 Litton Rd, Chillicothe, MO 64601",,,CHILLICOTHE CORRECTIONAL CENTER
Crossroads Correctional Center,1115 E. Pence Rd,Cameron,MO,64429,,,"1115 E. Pence Rd, Cameron, MO 64429",,,CROSSROADS CORRECTIONAL CENTER
"Eastern Reception, Diagnostic and Correctional Center",2727 Hwy K,Bonne Terre,MO,63628,,,"2727 Hwy K, Bonne Terre, MO 63628",,,"EASTERN RECEPTION, DIAGNOSTIC AND CORRECTIONAL CENTER"
Farmington Correctional Center,1012 W. Columbia St,Farmington,MO,63640,,,"1012 W. Columbia St, Farmington, MO 63640",,,FARMINGTON CORRECTIONAL CENTER
Fulton Reception and Diagnostic Center,1393 State Rte O,Fulton,MO,65251,,,"1393 State Rte O, Fulton, MO 65251",,,FULTON RECEPTION AND DIAGNOSTIC CENTER
Jefferson City Correctional Center,8200 No More Victims Rd,Jefferson City,MO,65101,,,"8200 No More Victims Rd, Jefferson City, MO 65101",,,JEFFERSON CITY CORRECTIONAL CENTER
Moberly Correctional Center,5201 S. Morley,Moberly,MO,65270,,,"5201 S. Morley, Moberly, MO 65270",,,MOBERLY CORRECTIONAL CENTER
Missouri Eastern Correctional Center,18701 U.S. Hwy 66,Pacific,MO,63069,,,"18701 U.S. Hwy 66, Pacific, MO 63069",,,MISSOURI EASTERN CORRECTIONAL CENTER
Maryville Treatment Center,30227 U.S. Hwy 136,Maryville,MO,64468,,,"30227 U.S. Hwy 136, Maryville, MO 64468",,,MARYVILLE TREATMENT CENTER
Northeast Correctional Center,13698 Airport Rd,Bowling Green,MO,63334,,,"13698 Airport Rd, Bowling Green, MO 63334",,,NORTHEAST CORRECTIONAL CENTER
Ozark Correctional Center,929 Honor Camp Ln,Fordland,MO,65652,,,"929 Honor Camp Ln, Fordland, MO 65652",,,OZARK CORRECTIONAL CENTER
Potosi Correctional Center,11593 State Hwy O,Mineral Point,MO,63660,,,"11593 State Hwy O, Mineral Point, MO 63660",,,POTOSI CORRECTIONAL CENTER
South Central Correctional Center,255 W. Hwy 32,Licking,MO,65542,,,"255 W. Hwy 32, Licking, MO 65542",,,SOUTH CENTRAL CORRECTIONAL CENTER
Southeast Correctional Center,300 E. Pedro Simmons Dr,Charleston,MO,63834,,,"300 E. Pedro Simmons Dr, Charleston, MO 63834",,,SOUTHEAST CORRECTIONAL CENTER
Tipton Correctional Center,619 W. Osage Ave,Tipton,MO,65081,,,"619 W. Osage Ave, Tipton, MO 65081",,,TIPTON CORRECTIONAL CENTER
"Women's Eastern Reception, Diagnostic and Correctional Center",1101 E. Hwy 54,Vandalia,MO,63382,,,"1101 E. Hwy 54, Vandalia, MO 63382",,,"WOMEN'S EASTERN RECEPTION, DIAGNOSTIC AND CORRECTIONAL CENTER"
Western Missouri Correctional Center,609 E. Pence Rd,Cameron,MO,64429,,,"609 E. Pence Rd, Cameron, MO 64429",,,WESTERN MISSOURI CORRECTIONAL CENTER
"Western Reception, Diagnostic and Correctional Center",3401 Faraon St,St Joseph,MO,64506,,,"3401 Faraon St, St Joseph, MO 64506",,,"WESTERN RECEPTION, DIAGNOSTIC AND CORRECTIONAL CENTER"
Montana State Prison,400 Conley Lake Rd,Deer Lodge,MT,59722,,,"400 Conley Lake Rd, Deer Lodge, MT 59722",,,MONTANA STATE PRISON
Montana Women's Prison,701 S. 27th St,Billings,MT,59101,,,"701 S. 27th St, Billings, MT 59101",,,MONTANA WOMEN'S PRISON
Pine Hills Correctional Facility,4 W. Haynes Ave,Miles City,MT,59301,,,"4 W. Haynes Ave, Miles City, MT 59301",,,PINE HILLS CORRECTIONAL FACILITY
Riverside Special Needs Unit,2 Riverside Rd,Boulder,MT,59632,,,"2 Riverside Rd, Boulder, MT 59632",,,RIVERSIDE SPECIAL NEEDS UNIT
Community Corrections Center - Lincoln,2720 W. Van Dorn St,Lincoln,NE,68522,,,"2720 W. Van Dorn St, Lincoln, NE 68522",,,COMMUNITY CORRECTIONS CENTER - LINCOLN
Community Corrections Center - Omaha,2320 Ave J,Omaha,NE,68110,,,"2320 Ave J, Omaha, NE 68110",,,COMMUNITY CORRECTIONS CENTER - OMAHA
Nebraska Correctional Center for Women,1107 Recharge Rd,York,NE,68467,,,"1107 Recharge Rd, York, NE 68467",,,NEBRASKA CORRECTIONAL CENTER FOR WOMEN
Nebraska State Penitentiary,4201 S. 14th St,Lincoln,NE,68502,,,"4201 S. 14th St, Lincoln, NE 68502",,,NEBRASKA STATE PENITENTIARY
Omaha Corecctional Center,2323 Ave J,Omaha,NE,68110,,,"2323 Ave J, Omaha, NE 68110",,,OMAHA CORECCTIONAL CENTER
Reception and Treatment Center,3218 W. Van Dorn St,Lincoln,NE,68522,,,"3218 W. Van Dorn St, Lincoln, NE 68522",,,RECEPTION AND TREATMENT CENTER
Tecumseh State Correctional Institution ,2725 Hwy 50,Tecumseh,NE,68450,,,"2725 Hwy 50, Tecumseh, NE 68450",,,TECUMSEH STATE CORRECTIONAL INSTITUTION 
Work Ethic Camp,2309 N. Hwy 83,McCook,NE,69001,,,"2309 N. Hwy 83, McCook, NE 69001",,,WORK ETHIC CAMP
Ely State Prison,4569 W. State Rte 490,Ely,NV,89301,,,"4569 W. State Rte 490, Ely, NV 89301",,,ELY STATE PRISON
Florence McClure Women's Correctional Center,4370 Smiley Rd,Las Vegas,NV,89115,,,"4370 Smiley Rd, Las Vegas, NV 89115",,,FLORENCE MCCLURE WOMEN'S CORRECTIONAL CENTER
High Desert State Prison,22010 Cold Creek Rd,Indian Springs,NV,89070,,,"22010 Cold Creek Rd, Indian Springs, NV 89070",,,HIGH DESERT STATE PRISON
Lovelock Correctional Center,1200 Prison Rd,Lovelock,NV,89419,,,"1200 Prison Rd, Lovelock, NV 89419",,,LOVELOCK CORRECTIONAL CENTER
Northern Nevada Correctional Center,1721 E. Snyder Ave,Carson City,NV,89701,,,"1721 E. Snyder Ave, Carson City, NV 89701",,,NORTHERN NEVADA CORRECTIONAL CENTER
Southern Desert Correctional Center ,20825 Cold Creek Rd,Indian Springs,NV,89070,,,"20825 Cold Creek Rd, Indian Springs, NV 89070",,,SOUTHERN DESERT CORRECTIONAL CENTER 
New Hampshire Correctional Facility for Women,281 W. State St,Concord,NH,03301,,,"281 W. State St, Concord, NH 03301",,,NEW HAMPSHIRE CORRECTIONAL FACILITY FOR WOMEN
New Hampshire State Prison for Men,42 Perimeter Rd,Concord,NH,03301,,,"42 Perimeter Rd, Concord, NH 03301",,,NEW HAMPSHIRE STATE PRISON FOR MEN
Northern New Hampshire Correctional Facility ,138 E. Milan Rd,Berlin,NH,03570,,,"138 E. Milan Rd, Berlin, NH 03570",,,NORTHERN NEW HAMPSHIRE CORRECTIONAL FACILITY 
Adult Diagnostic and Treatment Center,8 Production Way,Woodbridge,NJ,07095,,,"8 Production Way, Woodbridge, NJ 07095",,,ADULT DIAGNOSTIC AND TREATMENT CENTER
Bayside State Prison,4293 Rte 47,Leesburg,NJ,08327,,,"4293 Rte 47, Leesburg, NJ 08327",,,BAYSIDE STATE PRISON
East Jersey State Prison,1100 Woodbridge Rd,Rahway,NJ,07065,,,"1100 Woodbridge Rd, Rahway, NJ 07065",,,EAST JERSEY STATE PRISON
Edna Mahan Correctional Facility for Women,30 Rte 513,Clinton,NJ,08809,,,"30 Rte 513, Clinton, NJ 08809",,,EDNA MAHAN CORRECTIONAL FACILITY FOR WOMEN
Garden State Youth Correctional Facility,55 Hogback Rd,Crosswicks,NJ,08515,,,"55 Hogback Rd, Crosswicks, NJ 08515",,,GARDEN STATE YOUTH CORRECTIONAL FACILITY
Mid-State Correctional Facility,8401 Range Rd,Fort Dix,NJ,08640,,,"8401 Range Rd, Fort Dix, NJ 08640",,,MID-STATE CORRECTIONAL FACILITY
New Jersey State Prison,600 Cass St,Trenton,NJ,08608,,,"600 Cass St, Trenton, NJ 08608",,,NEW JERSEY STATE PRISON
Northern State Prison,168 Frontage Rd,Newark,NJ,07114,,,"168 Frontage Rd, Newark, NJ 07114",,,NORTHERN STATE PRISON
South Woods State Prison,215 S. Burlington Rd,Bridgeton,NJ,08302,,,"215 S. Burlington Rd, Bridgeton, NJ 08302",,,SOUTH WOODS STATE PRISON
Central New Mexico Correctional Facility,1525 Morris Rd,Los Lunas,NM,87031,,,"1525 Morris Rd, Los Lunas, NM 87031",,,CENTRAL NEW MEXICO CORRECTIONAL FACILITY
Guadalupe County Correctional Facility,1039 Agua Negra Rd,Santa Rosa,NM,88435,,,"1039 Agua Negra Rd, Santa Rosa, NM 88435",,,GUADALUPE COUNTY CORRECTIONAL FACILITY
Northeast New Mexico Correctional Facility,185 Dr. Michael Jenkins Rd,Clayton,NM,88415,,,"185 Dr. Michael Jenkins Rd, Clayton, NM 88415",,,NORTHEAST NEW MEXICO CORRECTIONAL FACILITY
Penitentiary of New Mexico,4311 State Hwy 14,Santa Fe,NM,87508,,,"4311 State Hwy 14, Santa Fe, NM 87508",,,PENITENTIARY OF NEW MEXICO
Roswell Correctional Center,578 W. Chickasaw Rd,Hagerman,NM,88232,,,"578 W. Chickasaw Rd, Hagerman, NM 88232",,,ROSWELL CORRECTIONAL CENTER
Springer Correctional Center,"NM-201, NM-468",Springer,NM,87747,,,"NM-201, NM-468, Springer, NM 87747",,,SPRINGER CORRECTIONAL CENTER
Southern New Mexico Correctional Facility,1983 Joe R. Silva Blvd,Las Cruces,NM,88004,,,"1983 Joe R. Silva Blvd, Las Cruces, NM 88004",,,SOUTHERN NEW MEXICO CORRECTIONAL FACILITY
Western New Mexico Correctional Facility,1700 E. Old Highway 66,Grants,NM,87020,,,"1700 E. Old Highway 66, Grants, NM 87020",,,WESTERN NEW MEXICO CORRECTIONAL FACILITY
Adirondack Correctional Facility,196 Ray Brook Rd,Ray Brook,NY,12977,,,"196 Ray Brook Rd, Ray Brook, NY 12977",,,ADIRONDACK CORRECTIONAL FACILITY
Albion Correctional Facility,3595 State School Rd,Albion,NY,14411,,,"3595 State School Rd, Albion, NY 14411",,,ALBION CORRECTIONAL FACILITY
Altona Correctional Facility,555 Devils Den Rd,Altona,NY,12910,,,"555 Devils Den Rd, Altona, NY 12910",,,ALTONA CORRECTIONAL FACILITY
Attica Correctional Facility,639 Exchange St,Attica,NY,14011,,,"639 Exchange St, Attica, NY 14011",,,ATTICA CORRECTIONAL FACILITY
Auburn Correctional Facility,135 State St,Auburn,NY,13024,,,"135 State St, Auburn, NY 13024",,,AUBURN CORRECTIONAL FACILITY
Bare Hill Correctional Facility,181 Brand Rd,Malone,NY,12953,,,"181 Brand Rd, Malone, NY 12953",,,BARE HILL CORRECTIONAL FACILITY
Bedford Hills Correctional Facility,247 Harris Rd,Bedford Hills,NY,10507,,,"247 Harris Rd, Bedford Hills, NY 10507",,,BEDFORD HILLS CORRECTIONAL FACILITY
Cape Vincent Correctional Facility,36560 State Rte 12E,Cape Vincent,NY,13618,,,"36560 State Rte 12E, Cape Vincent, NY 13618",,,CAPE VINCENT CORRECTIONAL FACILITY
Cayuga Correctional Facility,2202 State Rte 38A,Moravia,NY,13118,,,"2202 State Rte 38A, Moravia, NY 13118",,,CAYUGA CORRECTIONAL FACILITY
Clinton Correctional Facility,1156 Rt 374,Dannemora,NY,12929,,,"1156 Rt 374, Dannemora, NY 12929",,,CLINTON CORRECTIONAL FACILITY
Collins Correctional Facility,Middle Rd,Collins,NY,14034,,,"Middle Rd, Collins, NY 14034",,,COLLINS CORRECTIONAL FACILITY
Coxsackie Correctional Facility,11260 Rte 9W,Coxsackie,NY,12051,,,"11260 Rte 9W, Coxsackie, NY 12051",,,COXSACKIE CORRECTIONAL FACILITY
Eastern NY Correctional Facility,30 Institution Rd,Napanoch,NY,12458,,,"30 Institution Rd, Napanoch, NY 12458",,,EASTERN NY CORRECTIONAL FACILITY
Edgecombe Residential Treatment Facility,611 Edgecombe Ave,New York,NY,10032,,,"611 Edgecombe Ave, New York, NY 10032",,,EDGECOMBE RESIDENTIAL TREATMENT FACILITY
Elmira Correctional Facility,1879 Davis St,Elmira,NY,14901,,,"1879 Davis St, Elmira, NY 14901",,,ELMIRA CORRECTIONAL FACILITY
Fishkill Correctional Facility,18 Strack Dr,Beacon,NY,12508,,,"18 Strack Dr, Beacon, NY 12508",,,FISHKILL CORRECTIONAL FACILITY
Five Points Correctional Facility,6600 State Rte 96,Romulus,NY,14541,,,"6600 State Rte 96, Romulus, NY 14541",,,FIVE POINTS CORRECTIONAL FACILITY
Franklin Correctional Facility,62 Bare Hill Rd,Malone,NY,12953,,,"62 Bare Hill Rd, Malone, NY 12953",,,FRANKLIN CORRECTIONAL FACILITY
Gouverneur Correctional Facility,112 Scotch Settlement Rd,Gouverneur,NY,13642,,,"112 Scotch Settlement Rd, Gouverneur, NY 13642",,,GOUVERNEUR CORRECTIONAL FACILITY
Great Meadow Correctional Facility,11739 State Rte 22,Comstock,NY,12821,,,"11739 State Rte 22, Comstock, NY 12821",,,GREAT MEADOW CORRECTIONAL FACILITY
Green Haven Correctional Facility,594 Rt 216,Stormville,NY,12582,,,"594 Rt 216, Stormville, NY 12582",,,GREEN HAVEN CORRECTIONAL FACILITY
Greene Correctional Facility,165 Plank Rd,Coxsackie,NY,12051,,,"165 Plank Rd, Coxsackie, NY 12051",,,GREENE CORRECTIONAL FACILITY
Groveland Correctional Facility,7000 Sonyea Rd,Sonyea,NY,14556,,,"7000 Sonyea Rd, Sonyea, NY 14556",,,GROVELAND CORRECTIONAL FACILITY
Hale Creek ASACTC,279 Maloney Rd,Johnstown,NY,12095,,,"279 Maloney Rd, Johnstown, NY 12095",,,HALE CREEK ASACTC
Hudson Correctional Facility,50 E. Court St,Hudson,NY,12534,,,"50 E. Court St, Hudson, NY 12534",,,HUDSON CORRECTIONAL FACILITY
Lakeview Shock Incarceration Correctional Facility,9300 Lake Ave,Brocton,NY,14716,,,"9300 Lake Ave, Brocton, NY 14716",,,LAKEVIEW SHOCK INCARCERATION CORRECTIONAL FACILITY
Marcy Correctional Facility,9000 Old River Rd,Marcy,NY,13403,,,"9000 Old River Rd, Marcy, NY 13403",,,MARCY CORRECTIONAL FACILITY
Mid-State Correctional Facility,9005 Old River Rd,Marcy,NY,13403,,,"9005 Old River Rd, Marcy, NY 13403",,,MID-STATE CORRECTIONAL FACILITY
Mohawk Correctional Facility,6514 Rt  26,Rome,NY,13442,,,"6514 Rt  26, Rome, NY 13442",,,MOHAWK CORRECTIONAL FACILITY
Orleans Correctional Facility,3531 Gaines Basin Rd,Albion,NY,14411,,,"3531 Gaines Basin Rd, Albion, NY 14411",,,ORLEANS CORRECTIONAL FACILITY
Otisville Correctional Facility,57 Sanitorium Rd,Otisville,NY,10963,,,"57 Sanitorium Rd, Otisville, NY 10963",,,OTISVILLE CORRECTIONAL FACILITY
Queensboro Correctional Facility,47-04 Van Dam St,Long Island City,NY,11101,,,"47-04 Van Dam St, Long Island City, NY 11101",,,QUEENSBORO CORRECTIONAL FACILITY
Riverview Correctional Facility,1110 Tibbits Dr,Ogdensburg,NY,13669,,,"1110 Tibbits Dr, Ogdensburg, NY 13669",,,RIVERVIEW CORRECTIONAL FACILITY
Shawangunk Correctional Facility,200 Quick Rd,Wallkill,NY,12589,,,"200 Quick Rd, Wallkill, NY 12589",,,SHAWANGUNK CORRECTIONAL FACILITY
Sing Sing Correctional Facility,354 Hunter St,Ossining,NY,10562,,,"354 Hunter St, Ossining, NY 10562",,,SING SING CORRECTIONAL FACILITY
Sullivan Correctional Facility,325 Riverside Dr,Fallsburg,NY,12733,,,"325 Riverside Dr, Fallsburg, NY 12733",,,SULLIVAN CORRECTIONAL FACILITY
Taconic Correctional Facility,250 Harris Rd,Bedford Hills,NY,10507,,,"250 Harris Rd, Bedford Hills, NY 10507",,,TACONIC CORRECTIONAL FACILITY
Ulster Correctional Facility,750 Berme Rd,Napanoch,NY,12458,,,"750 Berme Rd, Napanoch, NY 12458",,,ULSTER CORRECTIONAL FACILITY
Upstate Correctional Facility,309 Bare Hill Rd,Malone,NY,12953,,,"309 Bare Hill Rd, Malone, NY 12953",,,UPSTATE CORRECTIONAL FACILITY
Wallkill Correctional Facility,50 McKendrick Rd,Wallkill,NY,12589,,,"50 McKendrick Rd, Wallkill, NY 12589",,,WALLKILL CORRECTIONAL FACILITY
Washington Correctional Facility,72 Lock Eleven Ln,Comstock,NY,12821,,,"72 Lock Eleven Ln, Comstock, NY 12821",,,WASHINGTON CORRECTIONAL FACILITY
Wende Correctional Facility,3040 Wende Rd,Alden,NY,14004,,,"3040 Wende Rd, Alden, NY 14004",,,WENDE CORRECTIONAL FACILITY
Woodbourne Correctional Facility,99 Prison Rd,Woodbourne,NY,12788,,,"99 Prison Rd, Woodbourne, NY 12788",,,WOODBOURNE CORRECTIONAL FACILITY
Wyoming Correctional Facility,3203 Dunbar Rd,Attica,NY,14011,,,"3203 Dunbar Rd, Attica, NY 14011",,,WYOMING CORRECTIONAL FACILITY
Albemarle Correctional Institution,44150 Airport Rd,New London,NC,28127,,,"44150 Airport Rd, New London, NC 28127",,,ALBEMARLE CORRECTIONAL INSTITUTION
Alexander Correctional Institution,633 Old Landfill Rd,Taylorsville,NC,28681,,,"633 Old Landfill Rd, Taylorsville, NC 28681",,,ALEXANDER CORRECTIONAL INSTITUTION
Anson Correctional Institution,552 Prison Camp Rd,Polkton,NC,28135,,,"552 Prison Camp Rd, Polkton, NC 28135",,,ANSON CORRECTIONAL INSTITUTION
Avery-Mitchell Correctional Institution,600 Amity Park Rd,Spruce Pine,NC,28777,,,"600 Amity Park Rd, Spruce Pine, NC 28777",,,AVERY-MITCHELL CORRECTIONAL INSTITUTION
Bertie Correctional Institution,218 Cooper Hill Rd,Windsor,NC,27983,,,"218 Cooper Hill Rd, Windsor, NC 27983",,,BERTIE CORRECTIONAL INSTITUTION
Caldwell Correctional Institution,480 Pleasant Hill Rd,Lenoir,NC,28645,,,"480 Pleasant Hill Rd, Lenoir, NC 28645",,,CALDWELL CORRECTIONAL INSTITUTION
Carteret Correctional Institution,1084 Orange St,Newport,NC,28570,,,"1084 Orange St, Newport, NC 28570",,,CARTERET CORRECTIONAL INSTITUTION
Caswell Correctional Institution,444 County Home Rd,Blanch,NC,27212,,,"444 County Home Rd, Blanch, NC 27212",,,CASWELL CORRECTIONAL INSTITUTION
Catawba Correctional Institution,1347 Prison Camp Rd,Newton,NC,28658,,,"1347 Prison Camp Rd, Newton, NC 28658",,,CATAWBA CORRECTIONAL INSTITUTION
Central Prison,1300 Western Blvd,Raleigh,NC,27606,,,"1300 Western Blvd, Raleigh, NC 27606",,,CENTRAL PRISON
Columbus Correctional Institution,1255 Prison Camp Rd,Whiteville,NC,28472,,,"1255 Prison Camp Rd, Whiteville, NC 28472",,,COLUMBUS CORRECTIONAL INSTITUTION
Craggy Correctional Institution,22 Canoe Ln,Asheville,NC,28804,,,"22 Canoe Ln, Asheville, NC 28804",,,CRAGGY CORRECTIONAL INSTITUTION
